行政區,事故,死亡,受傷
宜蘭市,2271,15,5128
礁溪鄉,763,12,1749
羅東鎮,1525,11,3423
冬山鄉,923,11,2100
三星鄉,418,9,1050
蘇澳鎮,521,8,1208
五結鄉,783,8,1806
壯圍鄉,330,6,765
員山鄉,474,5,1089
頭城鎮,348,5,816
南澳鄉,54,4,123
大同鄉,89,3,254
