行政區,事故,死亡,受傷
新莊區,5223,31,11753
三重區,6141,26,14081
板橋區,5814,25,13223
中和區,4769,21,10692
林口區,1193,19,2604
新店區,2766,18,6283
土城區,2517,15,5684
汐止區,2187,12,4951
淡水區,1945,11,4453
樹林區,1582,11,3553
三峽區,1412,10,3152
蘆洲區,2085,8,4688
五股區,1994,8,4550
鶯歌區,1229,8,2729
瑞芳區,314,6,736
八里區,610,6,1429
永和區,2469,5,5577
三芝區,168,5,386
貢寮區,59,5,138
泰山區,1299,4,2973
萬里區,99,4,228
金山區,115,3,261
平溪區,40,1,94
石碇區,103,1,253
石門區,74,1,171
坪林區,210,0,480
烏來區,23,0,49
深坑區,177,0,400
雙溪區,21,0,50
