行政區,事故,死亡,受傷
南投市,1918,23,4273
草屯鎮,2215,16,5017
埔里鎮,1602,15,3697
名間鄉,415,15,976
竹山鎮,763,9,1714
魚池鄉,250,7,564
國姓鄉,177,6,402
水里鄉,228,6,520
集集鎮,139,5,326
鹿谷鄉,140,3,327
信義鄉,75,3,175
中寮鄉,92,2,193
仁愛鄉,372,2,887
