行政區,事故,死亡,受傷
竹北市,4562,13,10143
竹東鎮,1513,10,3378
湖口鄉,2009,10,4605
新埔鎮,916,9,2015
新豐鄉,1099,7,2467
寶山鄉,754,6,1700
北埔鄉,101,5,213
關西鎮,383,4,879
芎林鄉,384,3,885
峨眉鄉,55,2,120
橫山鄉,164,2,380
尖石鄉,73,2,176
五峰鄉,14,0,34
