行政區,事故,死亡,受傷
屏東市,5464,32,12233
萬丹鄉,1073,16,2424
長治鄉,715,15,1607
潮州鎮,1306,13,2915
新園鄉,574,12,1280
內埔鄉,1158,11,2580
佳冬鄉,238,10,544
枋寮鄉,439,10,1019
恆春鎮,716,9,1729
枋山鄉,205,8,532
竹田鄉,385,7,858
麟洛鄉,305,7,696
鹽埔鄉,399,7,882
高樹鄉,267,6,594
里港鄉,443,5,1008
萬巒鄉,187,5,420
新埤鄉,136,5,301
東港鎮,942,5,2115
九如鄉,498,4,1143
獅子鄉,74,4,183
崁頂鄉,223,3,504
琉球鄉,214,3,568
林邊鄉,192,3,434
車城鄉,124,3,291
牡丹鄉,38,2,89
南州鄉,181,1,426
瑪家鄉,22,1,48
泰武鄉,17,1,35
春日鄉,7,1,16
滿州鄉,71,1,156
三地門鄉,90,0,195
霧臺鄉,52,0,115
來義鄉,9,0,26
