發生年度,發生月份,發生日期,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,速限-第1當事者,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,車輛撞擊部位大類別名稱-其他,車輛撞擊部位子類別名稱-其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱-是否肇逃,經度,緯度
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,1,小客車(含客、貨兩用),自用,女,63,繫安全帶(使用幼童安全椅),未使用,車的狀態,向右變換車道,汽車,前車頭,汽車,前車頭,其他,其他不當駕車行為,否,120.465788,23.425639
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.465788,23.425639
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,3,小客車(含客、貨兩用),自用,女,31,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,左側車身,汽車,右後車尾(身),無(車輛駕駛者因素),尚未發現肇事因素,否,120.465788,23.425639
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,4,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.465788,23.425639
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,5,小客車(含客、貨兩用),自用,男,43,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,汽車,車底,無(車輛駕駛者因素),尚未發現肇事因素,否,120.465788,23.425639
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,6,小客車(含客、貨兩用),自用,女,25,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右前車頭(身),汽車,車底,無(車輛駕駛者因素),尚未發現肇事因素,否,120.465788,23.425639
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,7,人,乘客,男,68,繫安全帶(使用幼童安全椅),非駕駛人,人的狀態,靜立(止),其他,非汽、機及自行車,其他,非汽、機及自行車,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.465788,23.425639
2023,7,20230701,000000,A2,國道公路警察局,嘉義縣水上鄉國道3號 303公里500.0公尺處南側向路肩,晴,無照明,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車輛本身,撞護欄(樁),其他,其他不當駕車行為,死亡0;受傷2,8,人,乘客,女,66,繫安全帶(使用幼童安全椅),非駕駛人,人的狀態,靜立(止),其他,非汽、機及自行車,其他,非汽、機及自行車,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.465788,23.425639
2023,7,20230701,000000,A2,臺北市政府警察局,臺北市文山區木柵路1段 / 臺北市文山區辛亥路7段口,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,無號誌路口，轉彎車未讓直行車先行,死亡0;受傷2,1,小客車(含客、貨兩用),自用,男,24,繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,右側車身,,,駕駛者,無號誌路口，轉彎車未讓直行車先行,否,121.552383,24.987760
2023,7,20230701,000000,A2,臺北市政府警察局,臺北市文山區木柵路1段 / 臺北市文山區辛亥路7段口,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,無號誌路口，轉彎車未讓直行車先行,死亡0;受傷2,2,機車,普通重型,男,21,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.552383,24.987760
2023,7,20230701,000000,A2,臺北市政府警察局,臺北市文山區木柵路1段 / 臺北市文山區辛亥路7段口,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,無號誌路口，轉彎車未讓直行車先行,死亡0;受傷2,3,小客車(含客、貨兩用),自用,男,41,未戴安全帽或未繫安全帶(未使用幼童安全椅),未使用,車的狀態,等待(引擎未熄火),汽車,左前車頭(身),,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.552383,24.987760
