行政區,事故,死亡,受傷
草屯鎮,1273,12,1645
埔里鎮,792,9,1038
南投市,1229,7,1583
名間鄉,286,6,362
仁愛鄉,154,5,213
鹿谷鄉,57,4,69
集集鎮,66,2,80
信義鄉,35,2,57
國姓鄉,104,2,127
魚池鄉,124,1,162
中寮鄉,52,1,63
竹山鎮,429,0,554
水里鄉,122,0,161
