行政區,事故,死亡,受傷
蘇澳鎮,287,11,393
宜蘭市,1260,10,1687
羅東鎮,768,8,1014
員山鄉,235,8,307
三星鄉,242,7,330
冬山鄉,441,6,589
礁溪鄉,350,6,467
五結鄉,388,4,506
壯圍鄉,160,4,204
頭城鎮,198,3,253
南澳鄉,40,1,51
大同鄉,42,0,66
