行政區,事故,死亡,受傷
竹北市,2705,10,3618
新豐鄉,573,9,733
湖口鄉,1125,7,1450
新埔鎮,492,7,599
關西鎮,213,5,264
竹東鎮,976,4,1291
芎林鄉,205,3,264
橫山鄉,116,3,144
峨眉鄉,47,2,54
寶山鄉,232,2,296
尖石鄉,40,1,56
北埔鄉,65,1,80
五峰鄉,20,0,27
