行政區,事故,死亡,受傷
屏東市,3126,26,4363
萬丹鄉,600,12,794
萬巒鄉,114,7,149
枋山鄉,157,7,238
新園鄉,340,7,449
恆春鎮,404,6,531
長治鄉,423,6,566
里港鄉,243,5,310
內埔鄉,628,5,854
九如鄉,274,5,359
潮州鎮,707,5,956
枋寮鄉,233,5,329
竹田鄉,230,4,317
南州鄉,95,4,126
鹽埔鄉,237,4,327
林邊鄉,127,3,164
東港鎮,544,3,745
崁頂鄉,120,3,146
新埤鄉,98,2,134
麟洛鄉,206,1,275
車城鄉,88,1,118
高樹鄉,147,1,185
佳冬鄉,140,1,191
獅子鄉,42,1,54
春日鄉,11,1,14
三地門鄉,61,0,73
牡丹鄉,9,0,13
滿州鄉,44,0,51
琉球鄉,51,0,83
瑪家鄉,20,0,21
泰武鄉,8,0,11
霧臺鄉,32,0,36
來義鄉,8,0,8
