縣市,死亡,事故,受傷,"10萬人發生率 - 死亡","10萬人發生率 - 事故","10萬人發生率 - 受傷"
高雄市,210,41496,58699,7.59,1500,2122
新北市,137,42746,57839,3.4,1060,1435
臺中市,211,42203,56525,7.48,1496,2004
彰化縣,132,22842,29834,10.42,1803,2355
嘉義縣,88,7724,10261,17.62,1546,2054
雲林縣,105,10625,13861,15.51,1570,2048
臺南市,194,38193,50330,10.35,2037,2684
桃園市,177,49801,64669,7.8,2195,2850
臺北市,60,25698,34081,2.31,987,1310
屏東縣,138,16800,22877,16.98,2067,2815
苗栗縣,66,6566,8738,12.16,1210,1610
新竹縣,61,11098,14370,10.69,1944,2518
臺東縣,45,4143,4768,20.9,1925,2215
南投縣,58,7908,10268,11.82,1611,2092
新竹市,34,10247,13537,7.53,2270,2999
金門縣,5,885,1234,3.56,629,878
宜蘭縣,43,8764,11704,9.49,1934,2583
嘉義市,16,3034,3954,6.01,1141,1486
花蓮縣,53,6300,8546,16.34,1942,2635
基隆市,10,4287,5748,2.72,1166,1564
澎湖縣,8,969,1484,7.55,915,1401
連江縣,0,41,56,0,309,422
