2023,2,20230209,220021,A2,國道公路警察局,"臺南市新化區國道3號 347公里400.0公尺處北側向內側",晴,夜間(或隧道、地下道、涵洞)有照明,國道,110,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,撞護欄(樁),駕駛人,未注意車前狀態,死亡0;受傷1,1,小客車,自用,男,43,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向左變換車道,汽車,左側車身,,,駕駛人,未注意車前狀態,否,120.326510,23.036627
2023,2,20230211,145522,A2,國道公路警察局,"臺南市新化區國道3號 346公里北側向中線",晴,日間自然光線,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛人,未注意車前狀態,死亡0;受傷1,1,小客車,自用,男,26,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛人,未注意車前狀態,否,120.326510,23.036627
2023,1,20230103,140107,A2,臺南市政府警察局,"臺南市新化區東榮里信義路口 / 臺南市新化區東榮里信義路",晴,日間自然光線,市區道路,50,交岔路,多岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,閃光號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛人,未依規定讓車,死亡0;受傷2,1,機車,普通重型,男,50,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,,,駕駛人,未依規定讓車,否,120.314416,23.037447
2023,1,20230105,044033,A2,臺南市政府警察局,"臺南市新化區東榮里中興路東側 / 臺南市新化區護安街北側",晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,50,交岔路,多岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,閃光號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡0;受傷1,1,小客車,自用,男,23,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,左後車尾(身),,,駕駛人,未依規定讓車,否,120.309601,23.034563
2023,1,20230108,153000,A2,臺南市政府警察局,"臺南市新化區中興路口 / 臺南市新化區中興路口",晴,日間自然光線,市區道路,50,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,對向擦撞,駕駛人,未依規定讓車,死亡0;受傷1,1,慢車,腳踏自行車,男,11,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,其他,非汽(機)車,,,駕駛人,未依規定讓車,否,120.335135,23.027081
2023,1,20230109,181817,A2,臺南市政府警察局,臺南市新化區東榮里中興路396號附近,晴,日間自然光線,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,撞動物,駕駛人,未注意車前狀態,死亡0;受傷1,1,機車,普通重型,男,18,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,,,駕駛人,未注意車前狀態,否,120.323072,23.027775
2023,1,20230116,004052,A2,臺南市政府警察局,"臺南市新化區南175 9公里400.0公尺處南側",晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,汽(機)車本身,撞交通島,駕駛人,酒醉(後)駕駛失控,死亡0;受傷1,1,小客車,自用,男,29,不明,未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛人,酒醉(後)駕駛失控,否,120.328115,23.037201
2023,1,20230119,105849,A2,臺南市政府警察局,臺南市新化區東榮里中興路620號前0.0公尺東側,晴,日間自然光線,市區道路,50,交岔路,三岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,其他,其他引起事故之違規或不當行為,死亡0;受傷1,1,其他車,動力機械,男,64,其他(無需使用保護裝備之人),未使用,車的狀態,等待(引擎未熄火),汽車,前車頭,,,其他,其他引起事故之違規或不當行為,否,120.315105,23.032036
2023,1,20230123,221059,A2,國道公路警察局,"臺南市新化區國道3號 347公里南側向路肩",晴,夜間(或隧道、地下道、涵洞)有照明,國道,110,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,撞護欄(樁),駕駛人,變換車道或方向不當,死亡0;受傷4,1,小客車,自用,女,25,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向右變換車道,汽車,右前車頭(身),汽車,右側車身,駕駛人,變換車道或方向不當,否,120.326510,23.036627
2023,1,20230125,224737,A2,臺南市政府警察局,臺南市新化區東榮里信義路119之1號前,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),快慢車道分隔線,有,車與車,其他,駕駛人,未注意車前狀態,死亡0;受傷3,1,慢車,電動輔助自行車,男,11,未戴案全帽或未繫安全帶(未使用幼童安全椅),未使用,車的狀態,向前直行中,其他,非汽(機)車,,,駕駛人,未注意車前狀態,否,120.313842,23.036612
2023,1,20230128,090924,A2,臺南市政府警察局,"臺南市新化區東榮里和平街口 / 臺南市新化區護安街口",晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛人,未依規定讓車,死亡0;受傷3,1,小客車,自用,女,37,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,左前車頭(身),,,駕駛人,未依規定讓車,否,120.309997,23.033638
